symbol,symbol_era_id,historical_identity_status,historical_issuer_name,historical_event_type,historical_event_date,historical_successor,source_url,source_note
COUP,COUP#001,manual_verified_historical_identity,Coupa Software Inc,merger_or_acquisition_lead,2023-01-23,,https://www.sec.gov/Archives/edgar/data/1385867/000119312523012656/,"SEC triage high_confidence_lead score=105; deal_form; inside_symbol_era; query_alias_in_entity; form=DEFM14A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
VMW,VMW#001,manual_verified_historical_identity,"VMWARE, INC.",merger_or_acquisition_lead,2022-10-03,,https://www.sec.gov/Archives/edgar/data/1124610/000114036122035833/,"SEC triage high_confidence_lead score=105; deal_form; inside_symbol_era; query_alias_in_entity; form=DEFM14A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
AXL,AXL#001,manual_verified_historical_identity,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,merger_or_acquisition_lead,2016-12-19,,https://www.sec.gov/Archives/edgar/data/1062231/000104746916017238/,"SEC triage high_confidence_lead score=110; deal_form; inside_symbol_era; symbol_token_in_entity; form=S-4. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
SGEN,SGEN#001,manual_verified_historical_identity,Seagen Inc.,merger_or_acquisition_lead,2023-04-14,,https://www.sec.gov/Archives/edgar/data/1060736/000119312523102294/,"SEC triage high_confidence_lead score=115; deal_form; inside_symbol_era; query_alias_in_entity; form=PREM14A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
ANSS,ANSS#001,manual_verified_historical_identity,ANSYS INC,merger_or_acquisition_lead,2024-04-17,,https://www.sec.gov/Archives/edgar/data/1013462/000114036124020334/,"SEC triage high_confidence_lead score=120; deal_form; inside_symbol_era; symbol_token_in_entity; form=DEFM14A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
XLNX,XLNX#001,manual_verified_historical_identity,XILINX INC,merger_or_acquisition_lead,2021-03-05,,https://www.sec.gov/Archives/edgar/data/743988/000110465921032782/,"SEC triage high_confidence_lead score=112; deal_form; inside_symbol_era; query_alias_in_entity; form=DEFM14A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
ODP,ODP#001,manual_verified_historical_identity,ODP Corp,merger_or_acquisition_lead,2025-10-27,,https://www.sec.gov/Archives/edgar/data/800240/000114036125039484/,"SEC triage high_confidence_lead score=110; deal_form; inside_symbol_era; symbol_token_in_entity; form=DEFM14A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
IMGN,IMGN#001,manual_verified_historical_identity,"ImmunoGen, Inc.",merger_or_acquisition_lead,2023-12-21,,https://www.sec.gov/Archives/edgar/data/855654/000110465923128277/,"SEC triage high_confidence_lead score=107; deal_form; inside_symbol_era; query_alias_in_entity; form=PREM14A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
SRC,SRC#001,manual_verified_historical_identity,SRC Energy Inc.,merger_or_acquisition_lead,2019-08-26,,https://www.sec.gov/Archives/edgar/data/1413507/000141057819000896/,"SEC triage high_confidence_lead score=120; deal_form; inside_symbol_era; symbol_token_in_entity; form=425. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
NVTA,NVTA#001,manual_verified_historical_identity,Invitae Corp,merger_or_acquisition_lead,2017-09-13,,https://www.sec.gov/Archives/edgar/data/1501134/000119312517283905/,"SEC triage high_confidence_lead score=113; deal_form; inside_symbol_era; query_alias_in_entity; form=S-4. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
ITCI,ITCI#001,manual_verified_historical_identity,"Intra-Cellular Therapies, Inc.",merger_or_acquisition_lead,2025-02-05,,https://www.sec.gov/Archives/edgar/data/1567514/000119312525020900/,"SEC triage high_confidence_lead score=110; deal_form; inside_symbol_era; symbol_token_in_entity; form=PREM14A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
PDCO,PDCO#001,manual_verified_historical_identity,"PATTERSON COMPANIES, INC.",merger_or_acquisition_lead,2025-02-27,,https://www.sec.gov/Archives/edgar/data/891024/000119312525037577/,"SEC triage high_confidence_lead score=110; deal_form; inside_symbol_era; symbol_token_in_entity; form=DEFM14A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
DISCK,DISCK#001,manual_verified_historical_identity,"Discovery Communications, Inc.",merger_or_acquisition_lead,2017-10-13,,https://www.sec.gov/Archives/edgar/data/1437107/000119312517309961/,"SEC triage high_confidence_lead score=109; deal_form; inside_symbol_era; query_alias_in_entity; form=S-4/A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
ENLC,ENLC#001,manual_verified_historical_identity,"EnLink Midstream, LLC",merger_or_acquisition_lead,2024-12-31,,https://www.sec.gov/Archives/edgar/data/1592000/000121390024113605/,"SEC triage high_confidence_lead score=120; deal_form; inside_symbol_era; symbol_token_in_entity; form=DEFM14A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
MRO,MRO#001,manual_verified_historical_identity,MARATHON OIL CORP,merger_or_acquisition_lead,2024-05-29,,https://www.sec.gov/Archives/edgar/data/101778/000119312524148640/,"SEC triage high_confidence_lead score=120; deal_form; inside_symbol_era; symbol_token_in_entity; form=425. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
SIX,SIX#001,manual_verified_historical_identity,Six Flags Entertainment Corp,merger_or_acquisition_lead,2024-06-26,,https://www.sec.gov/Archives/edgar/data/701374/000119312524168497/,"SEC triage high_confidence_lead score=110; deal_form; inside_symbol_era; symbol_token_in_entity; form=425. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
WLL,WLL#001,manual_verified_historical_identity,WHITING PETROLEUM CORP,merger_or_acquisition_lead,2022-06-14,,https://www.sec.gov/Archives/edgar/data/1255474/000110465922070723/,"SEC triage high_confidence_lead score=107; deal_form; inside_symbol_era; query_alias_in_entity; form=425. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
JWN,JWN#001,manual_verified_historical_identity,NORDSTROM INC,going_private_lead,2025-03-04,,https://www.sec.gov/Archives/edgar/data/72333/000121390025019787/,"SEC triage high_confidence_lead score=110; deal_form; inside_symbol_era; symbol_token_in_entity; form=SC 13E3. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
GES,GES#001,manual_verified_historical_identity,GUESS INC,going_private_lead,2025-10-03,,https://www.sec.gov/Archives/edgar/data/912463/000119312525230454/,"SEC triage high_confidence_lead score=118; deal_form; inside_symbol_era; symbol_token_in_entity; form=SC 13E3. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
HBI,HBI#001,manual_verified_historical_identity,Hanesbrands Inc.,merger_or_acquisition_lead,2025-08-13,,https://www.sec.gov/Archives/edgar/data/1359841/000119312525179968/,"SEC triage high_confidence_lead score=111; deal_form; inside_symbol_era; symbol_token_in_entity; form=425. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
ZNGA,ZNGA#001,manual_verified_historical_identity,ZYNGA INC,merger_or_acquisition_lead,2022-01-20,,https://www.sec.gov/Archives/edgar/data/1439404/000119312522013888/,"SEC triage high_confidence_lead score=113; deal_form; inside_symbol_era; query_alias_in_entity; form=425. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
WRK,WRK#001,manual_verified_historical_identity,Smurfit WestRock Ltd,merger_or_acquisition_lead,2024-04-11,,https://www.sec.gov/Archives/edgar/data/2005951/000110465924046363/,"SEC triage high_confidence_lead score=115; deal_form; inside_symbol_era; query_alias_in_entity; form=S-4/A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
SNV,SNV#001,manual_verified_historical_identity,SYNOVUS FINANCIAL CORP,merger_or_acquisition_lead,2025-10-16,,https://www.sec.gov/Archives/edgar/data/18349/000114036125038332/,"SEC triage high_confidence_lead score=114; deal_form; inside_symbol_era; symbol_token_in_entity; form=425. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
CYBR,CYBR#001,manual_verified_historical_identity,CyberArk Software Ltd.,merger_or_acquisition_lead,2025-09-25,,https://www.sec.gov/Archives/edgar/data/1598110/000119312525217467/,"SEC triage high_confidence_lead score=110; deal_form; inside_symbol_era; symbol_token_in_entity; form=425. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
PACW,PACW#001,manual_verified_historical_identity,CU Bancorp,merger_or_acquisition_lead,2017-04-07,,https://www.sec.gov/Archives/edgar/data/1543643/000119312517116388/,"SEC triage high_confidence_lead score=115; deal_form; inside_symbol_era; query_alias_in_entity; form=425. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. User confirmed this strong SEC verifier row as correct."
IPG,IPG#001,manual_verified_historical_identity,"INTERPUBLIC GROUP OF COMPANIES, INC.",delisting_or_registration_termination_lead,2025-11-28,,https://www.sec.gov/Archives/edgar/data/51644/000087666125000918/ruleprovisionnotice.htm,"SEC triage high_confidence_lead score=105; exchange_exit_form; inside_symbol_era; symbol_token_in_entity; form=25-NSE. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Strict terminal review: triage=high_confidence_lead; verifier=strong_review_candidate; form=25-NSE; flags=delisting_language+event_language+issuer_name_match; filed_to_original_last_days=-2; terminal_exit_form; filed_near_original_last"
HES,HES#001,manual_verified_historical_identity,HESS CORP,delisting_or_registration_termination_lead,2025-07-18,,https://www.sec.gov/Archives/edgar/data/4447/000087666125000523/ruleprovisionnotice.htm,"SEC triage high_confidence_lead score=105; exchange_exit_form; inside_symbol_era; symbol_token_in_entity; form=25-NSE. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Strict terminal review: triage=high_confidence_lead; verifier=strong_review_candidate; form=25-NSE; flags=delisting_language+event_language+issuer_name_match; filed_to_original_last_days=0; terminal_exit_form; filed_near_original_last"
K,K#001,manual_verified_historical_identity,KELLANOVA,delisting_or_registration_termination_lead,2025-12-11,,https://www.sec.gov/Archives/edgar/data/55067/000087666125000958/ruleprovisionnotice.htm,"SEC triage manual_review_lead score=70; exchange_exit_form; inside_symbol_era; short_symbol_no_entity_match; form=25-NSE. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Strict terminal review: triage=manual_review_lead; verifier=strong_review_candidate; form=25-NSE; flags=delisting_language+event_language+issuer_name_match; filed_to_original_last_days=0; terminal_exit_form; filed_near_original_last"
SPR,SPR#001,manual_verified_historical_identity,"Spirit AeroSystems Holdings, Inc.",delisting_or_registration_termination_lead,2025-12-08,,https://www.sec.gov/Archives/edgar/data/1364885/000087666125000941/ruleprovisionnotice.htm,"SEC triage high_confidence_lead score=105; exchange_exit_form; inside_symbol_era; symbol_token_in_entity; form=25-NSE. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Strict terminal review: triage=high_confidence_lead; verifier=strong_review_candidate; form=25-NSE; flags=delisting_language+event_language+issuer_name_match; filed_to_original_last_days=0; terminal_exit_form; filed_near_original_last"
EVRI,EVRI#001,manual_verified_historical_identity,Everi Holdings Inc.,delisting_or_registration_termination_lead,2025-07-01,,https://www.sec.gov/Archives/edgar/data/1318568/000087666125000476/ruleprovisionnotice.htm,"SEC triage high_confidence_lead score=105; exchange_exit_form; inside_symbol_era; symbol_token_in_entity; form=25-NSE. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Strict terminal review: triage=high_confidence_lead; verifier=strong_review_candidate; form=25-NSE; flags=delisting_language+event_language+issuer_name_match; filed_to_original_last_days=0; terminal_exit_form; filed_near_original_last"
SAND,SAND#001,manual_verified_historical_identity,SANDSTORM GOLD LTD,delisting_or_registration_termination_lead,2025-10-20,,https://www.sec.gov/Archives/edgar/data/1434614/000087666125000786/ruleprovisionnotice.htm,"SEC triage high_confidence_lead score=105; exchange_exit_form; inside_symbol_era; symbol_token_in_entity; form=25-NSE. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Strict terminal review: triage=high_confidence_lead; verifier=strong_review_candidate; form=25-NSE; flags=delisting_language+event_language+issuer_name_match; filed_to_original_last_days=0; terminal_exit_form; filed_near_original_last"
ZAYO,ZAYO#001,manual_verified_historical_identity,"Zayo Group Holdings, Inc.",delisting_or_registration_termination_lead,2020-03-09,,https://www.sec.gov/Archives/edgar/data/1608249/000087666120000195/ruleprovisionnotice.htm,"SEC triage high_confidence_lead score=105; exchange_exit_form; inside_symbol_era; symbol_token_in_entity; form=25-NSE. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Strict terminal review: triage=high_confidence_lead; verifier=strong_review_candidate; form=25-NSE; flags=delisting_language+event_language+issuer_name_match+symbol_match; filed_to_original_last_days=0; terminal_exit_form; filed_near_original_last"
ALE,ALE#001,manual_verified_historical_identity,ALLETE INC,delisting_or_registration_termination_lead,2025-12-15,,https://www.sec.gov/Archives/edgar/data/66756/000087666125000967/ruleprovisionnotice.htm,"SEC triage high_confidence_lead score=105; exchange_exit_form; inside_symbol_era; symbol_token_in_entity; form=25-NSE. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Strict terminal review: triage=high_confidence_lead; verifier=strong_review_candidate; form=25-NSE; flags=delisting_language+event_language+issuer_name_match; filed_to_original_last_days=0; terminal_exit_form; filed_near_original_last"
VGR,VGR#001,manual_verified_historical_identity,VECTOR GROUP LTD,delisting_or_registration_termination_lead,2024-10-07,,https://www.sec.gov/Archives/edgar/data/59440/000087666124000921/ruleprovisionnotice.htm,"SEC triage high_confidence_lead score=105; exchange_exit_form; inside_symbol_era; symbol_token_in_entity; form=25-NSE. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Strict terminal review: triage=high_confidence_lead; verifier=strong_review_candidate; form=25-NSE; flags=delisting_language+event_language+issuer_name_match; filed_to_original_last_days=0; terminal_exit_form; filed_near_original_last"
WNS,WNS#001,manual_verified_historical_identity,WNS (HOLDINGS) LTD,delisting_or_registration_termination_lead,2025-10-17,,https://www.sec.gov/Archives/edgar/data/1356570/000087666125000781/ruleprovisionnotice.htm,"SEC triage high_confidence_lead score=110; exchange_exit_form; inside_symbol_era; symbol_token_in_entity; form=25-NSE. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Strict terminal review: triage=high_confidence_lead; verifier=strong_review_candidate; form=25-NSE; flags=delisting_language+event_language+issuer_name_match+symbol_match; filed_to_original_last_days=3; terminal_exit_form; filed_near_original_last"
DVAX,DVAX#001,manual_verified_historical_identity,DYNAVAX TECHNOLOGIES CORP,merger_or_acquisition_lead,2026-02-10,,https://www.sec.gov/Archives/edgar/data/1029142/000119312526043821/d945003d8k.htm,"SEC triage medium_confidence_lead score=85; review_form; inside_symbol_era; symbol_token_in_entity; form=8-K. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Close evidence review: form=8-K; verifier=strong_review_candidate; flags=completion_language+delisting_language+event_language+issuer_name_match+symbol_match; filed_to_original_last_days=0; max_abs_days=5"
NUAN,NUAN#001,manual_verified_historical_identity,"Nuance Communications, Inc.",merger_or_acquisition_lead,2022-03-04,,https://www.sec.gov/Archives/edgar/data/1002517/000119312522066065/d316980d8k.htm,"SEC triage medium_confidence_lead score=79; review_form; inside_symbol_era; query_alias_in_entity; form=8-K. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Close evidence review: form=8-K; verifier=strong_review_candidate; flags=completion_language+delisting_language+event_language+issuer_name_match+symbol_match; filed_to_original_last_days=0; max_abs_days=5"
MXIM,MXIM#001,manual_verified_historical_identity,MAXIM INTEGRATED PRODUCTS INC,merger_or_acquisition_lead,2021-08-26,,https://www.sec.gov/Archives/edgar/data/743316/000119312521257603/d203144d8k.htm,"SEC triage manual_review_lead score=65; review_form; inside_symbol_era; no_entity_match; form=8-K. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Close evidence review: form=8-K; verifier=strong_review_candidate; flags=delisting_language+event_language+issuer_name_match+symbol_match; filed_to_original_last_days=0; max_abs_days=5"
MDRX,MDRX#001,manual_verified_historical_identity,Veradigm Inc.,merger_or_acquisition_lead,2024-02-27,,https://www.sec.gov/Archives/edgar/data/1124804/000119312524047061/d793739d8k.htm,"SEC triage medium_confidence_lead score=85; review_form; inside_symbol_era; symbol_token_in_entity; form=8-K. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Close evidence review: form=8-K; verifier=strong_review_candidate; flags=delisting_language+event_language+issuer_name_match+symbol_match; filed_to_original_last_days=1; max_abs_days=5"
CELG,CELG#001,manual_verified_historical_identity,CELGENE CORP /DE/,merger_or_acquisition_lead,2019-11-15,,https://www.sec.gov/Archives/edgar/data/816284/000114036119020721/ex99_1.htm,"SEC triage medium_confidence_lead score=90; deal_form; inside_symbol_era; no_entity_match; form=425. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Close evidence review: form=425; verifier=strong_review_candidate; flags=completion_language+event_language+issuer_name_match+symbol_match; filed_to_original_last_days=5; max_abs_days=5"
WMGI,WMGI#001,manual_verified_historical_identity,Wright Medical Group N.V.,merger_or_acquisition_lead,2020-11-16,,https://www.sec.gov/Archives/edgar/data/1492658/000119312520294962/d35139d8k.htm,"SEC triage manual_review_lead score=62; review_form; inside_symbol_era; no_entity_match; form=8-K. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Close evidence review: form=8-K; verifier=strong_review_candidate; flags=delisting_language+event_language+issuer_name_match+symbol_match; filed_to_original_last_days=-5; max_abs_days=5"
MRTX,MRTX#001,manual_verified_historical_identity,"Mirati Therapeutics, Inc.",merger_or_acquisition_lead,2024-01-23,,https://www.sec.gov/Archives/edgar/data/1576263/000114036124003287/n70019397x1_8k.htm,"SEC triage high_confidence_lead score=105; deal_form; inside_symbol_era; query_alias_in_entity; form=DEFM14A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Terminal follow-up evidence: form=8-K; filed_at=2024-01-23; terminal_date=2024-01-23; days_to_original_last=0; bucket=terminal_text_verified_ready; flags=completion_language|delisting_language|event_language|issuer_name_match|symbol_match|terminal_date_extracted|terminal_date_near_original_last|terminal_language."
PRFT,PRFT#001,manual_verified_historical_identity,PERFICIENT INC,merger_or_acquisition_lead,2024-10-02,,https://www.sec.gov/Archives/edgar/data/1085869/000119312524230795/d898227d8k.htm,"SEC triage high_confidence_lead score=110; deal_form; inside_symbol_era; symbol_token_in_entity; form=DEFM14A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Terminal follow-up evidence: form=8-K; filed_at=2024-10-02; terminal_date=2024-10-02; days_to_original_last=0; bucket=terminal_text_verified_ready; flags=completion_language|delisting_language|direct_ticker_evidence|event_language|issuer_name_match|symbol_match|terminal_date_extracted|terminal_date_near_original_last|terminal_language."
SKX,SKX#001,manual_verified_historical_identity,SKECHERS USA INC,merger_or_acquisition_lead,2025-09-12,,https://www.sec.gov/Archives/edgar/data/1065837/000119312525201846/d41926d8k.htm,"SEC triage high_confidence_lead score=115; deal_form; inside_symbol_era; symbol_token_in_entity; form=425. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Terminal follow-up evidence: form=8-K; filed_at=2025-09-12; terminal_date=2025-09-12; days_to_original_last=0; bucket=terminal_text_verified_ready; flags=completion_language|direct_ticker_evidence|event_language|issuer_name_match|symbol_match|terminal_date_extracted|terminal_date_near_original_last|terminal_language."
SPTN,SPTN#001,manual_verified_historical_identity,SpartanNash Co,merger_or_acquisition_lead,2025-09-22,,https://www.sec.gov/Archives/edgar/data/877422/000110465925091946/tm2526608d1_8k.htm,"SEC triage high_confidence_lead score=110; deal_form; inside_symbol_era; symbol_token_in_entity; form=DEFM14A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Terminal follow-up evidence: form=8-K; filed_at=2025-09-22; terminal_date=2025-09-22; days_to_original_last=0; bucket=terminal_text_verified_ready; flags=completion_language|delisting_language|direct_ticker_evidence|event_language|issuer_name_match|symbol_match|terminal_date_extracted|terminal_date_near_original_last|terminal_language."
SWN,SWN#001,manual_verified_historical_identity,SOUTHWESTERN ENERGY CO,merger_or_acquisition_lead,2024-09-30,,https://www.sec.gov/Archives/edgar/data/7332/000110465924104962/tm2425085d1_8k.htm,"SEC triage high_confidence_lead score=117; deal_form; inside_symbol_era; symbol_token_in_entity; form=425. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Terminal follow-up evidence: form=8-K; filed_at=2024-10-01; terminal_date=2024-09-30; days_to_original_last=1; bucket=terminal_text_verified_ready; flags=completion_language|direct_ticker_evidence|event_language|issuer_name_match|symbol_match|terminal_date_extracted|terminal_date_near_original_last|terminal_language."
VER,VER#001,manual_verified_historical_identity,"VEREIT, Inc.",merger_or_acquisition_lead,2021-11-01,,https://www.sec.gov/Archives/edgar/data/1507385/000110465921132409/tm2131399d1_8k.htm,"SEC triage high_confidence_lead score=114; deal_form; inside_symbol_era; query_alias_in_entity; form=DEFM14A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Terminal follow-up evidence: form=8-K; filed_at=2021-11-01; terminal_date=2021-11-01; days_to_original_last=-3; bucket=terminal_text_verified_ready; flags=completion_language|event_language|issuer_name_match|symbol_match|terminal_date_extracted|terminal_date_near_original_last|terminal_language."
ESGR,ESGR#001,manual_verified_historical_identity,Enstar Group LTD,going_private_lead,2025-07-02,,https://www.sec.gov/Archives/edgar/data/1363829/000110465925065337/tm2519642d2_8k.htm,"SEC triage high_confidence_lead score=110; deal_form; inside_symbol_era; symbol_token_in_entity; form=SC 13E3/A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Terminal follow-up evidence: form=8-K; filed_at=2025-07-02; terminal_date=2025-07-02; days_to_original_last=0; bucket=terminal_text_verified_ready; flags=actual_terminal_language|completion_language|direct_ticker_evidence|event_language|going_private_form|issuer_name_match|terminal_date_extracted|terminal_date_near_original_last|terminal_language."
MOBL,MOBL#001,manual_verified_historical_identity,"MOBILEIRON, INC.",merger_or_acquisition_lead,2020-12-01,,https://www.sec.gov/Archives/edgar/data/1470099/000114036120027005/brhc10017477_8k.htm,"SEC triage medium_confidence_lead score=90; deal_form; inside_symbol_era; no_entity_match; form=DEFM14A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Terminal follow-up evidence: form=8-K; filed_at=2020-12-01; terminal_date=2020-12-01; days_to_original_last=0; bucket=terminal_text_verified_ready; flags=actual_terminal_language|completion_language|delisting_language|event_language|issuer_name_match|symbol_match|terminal_date_extracted|terminal_date_near_original_last|terminal_language."
PDCE,PDCE#001,manual_verified_historical_identity,"PDC ENERGY, INC.",merger_or_acquisition_lead,2023-08-07,,https://www.sec.gov/Archives/edgar/data/77877/000110465923088136/tm2321729d8_8k.htm,"SEC triage high_confidence_lead score=114; deal_form; inside_symbol_era; query_alias_in_entity; form=DEFM14A. Verify issuer, CIK, event, successor, and final delisting/closing before changing research_status to verified. Terminal follow-up evidence: form=8-K; filed_at=2023-08-07; terminal_date=2023-08-07; days_to_original_last=0; bucket=terminal_text_verified_ready; flags=actual_terminal_language|completion_language|delisting_language|event_language|issuer_name_match|symbol_match|terminal_date_extracted|terminal_date_near_original_last|terminal_language."
